Date,Closing Price,Gold Price,Oil Price,M3,Exchange Rate,Interest Rate
Aug-12,17429.56,91697.8,5848.75,13.84837,56.282,9
Sep-12,18762.74,93675.1,5798.48,13.43842,53.712,9
Oct-12,18505.38,92473.6,5476.43,13.12812,53.794,9
Nov-12,19339.9,93885.8,5536.01,13.27601,54.574,9
Dec-12,19426.71,90814.4,5526.62,11.13159,55.07,9
Jan-13,19894.98,88548,5708.32,13.03702,53.423,9
Feb-13,18861.54,86422.3,5784.94,12.69911,53.331,8.75
Mar-13,18835.77,86864.9,5575.84,14.10736,53.372,8.5
Apr-13,19504.18,79142.4,5375.04,12.8885,53.293,8.5
May-13,19760.3,78768.3,5468.66,14.18379,54.519,8.25
Jun-13,19395.81,70834.6,5817.69,12.76739,56.593,8.25
Jul-13,19345.7,79928.2,6292.38,12.86478,59.215,10.25
Aug-13,18619.72,92151.1,6836.67,12.20176,62.354,10.25
Sep-13,19379.77,83045.5,6926.83,13.29209,60.711,9.5
Oct-13,21164.52,81366.4,6497.77,13.24102,59.083,8.75
Nov-13,20791.93,78300,6435.78,14.53801,58.781,8.75
Dec-13,21170.68,74504.3,6534.28,14.57367,58.185,8.75
Jan-14,20513.85,78381.4,6344,14.48118,56.326,9
Feb-14,21120.12,82216.5,6529.28,14.53764,55.845,9
Mar-14,22386.27,77146.5,6343,12.97439,54.315,9
Apr-14,22417.8,77715.9,6329.6,14.23693,55.052,9
May-14,24217.34,73892,6273.13,12.4434,54.593,9
Jun-14,25413.78,79090.7,6471.05,11.41125,56.286,9
Jul-14,25894.97,77786.5,6320.51,12.72553,55.522,9
Aug-14,26638.11,78019.3,6092.56,13.0998,55.633,9
Sep-14,26630.51,75131,5835.69,12.31509,55.308,9
Oct-14,27865.83,71484.9,5280.84,12.97921,54.502,9
Nov-14,28693.99,73395.5,4748.53,11.62383,54.501,9
Dec-14,27499.42,76125.7,3806.55,11.36969,54.245,9
Jan-15,29182.95,78053.6,2927.2,11.23969,48.714,8.75
Feb-15,29361.5,75031.3,3398.51,11.18895,49.296,8.75
Mar-15,27957.49,74283.9,3299.23,11.90023,49.097,8.5
Apr-15,27011.31,74963.6,3610.82,10.94379,52.606,8.5
May-15,27828.44,76090.2,3988.78,11.37968,51.21,8.5
Jun-15,27780.83,74569.3,3915.3,12.20491,50.912,8.25
Jul-15,28114.56,70427.4,3458.51,11.21189,48.889,8.25
Aug-15,26283.09,75449.1,2973.16,11.25216,50.542,8.25
Sep-15,26154.83,73123,3064.43,11.02305,49.205,8.25
Oct-15,26656.83,74646.8,3055.95,10.2147,50.025,7.75
Nov-15,26145.67,70780.9,2847.43,10.19949,49.738,7.75
Dec-15,26117.54,70125.6,2435.4,10.68278,47.837,7.75
Jan-16,24870.69,75466.2,2004,10.68035,48.578,7.75
Feb-16,23002,84498,2117.58,11.11899,50.375,7.75
Mar-16,25341.86,81917.2,2503.95,10.02905,50.944,7.75
Apr-16,25606.62,85277.1,2708.63,11.62229,52.915,7
May-16,26667.96,81556.1,3072.75,10.15833,51.33,7
Jun-16,26999.72,89144,3208.66,8.82151,52.231,7
Jul-16,28051.86,89893.9,2966.28,10.20118,51.129,7
Aug-16,28452.17,87680.5,3004.16,10.20563,51.107,7
Sep-16,27865.96,88052,3006.05,10.88931,50.694,7
Oct-16,27930.21,84952.4,3290.46,10.95351,49.728,6.75
Nov-16,26652.81,80639.7,3056.29,10.03209,51.059,6.75
Dec-16,26626.46,77772.2,3572.84,6.28848,50.59,6.75
Jan-17,27655.96,82282.4,3649.89,6.25284,51.815,6.75
Feb-17,28743.32,83772.1,3647.03,6.21904,50.167,6.75
Mar-17,29620.5,80834.3,3355.09,10.43526,48.71,6.75
Apr-17,29918.4,81470.7,3365.04,5.69631,47.092,6.5
May-17,31145.8,81695.2,3213.83,7.57335,47.782,6.5
Jun-17,30921.61,80295.9,2975.01,7.2981,49.844,6.5
Jul-17,32514.94,81314.9,3071.23,6.80829,51.451,6.5
Aug-17,31730.49,83855.2,3194.46,5.50563,51.222,6.25
Sep-17,31283.72,83812.1,3413.19,5.66959,52.376,6.25
Oct-17,33213.13,82269.2,3574.53,6.68857,50.248,6.25
Nov-17,33149.35,82547.3,3887.81,6.97587,50.006,6.25
Dec-17,34056.83,82401.3,3930.99,10.2498,50.751,6.25
